province,country,latitude,longitude,date,confirmed,recovered,deaths,active
Aceh,Indonesia,4.695135,96.74939930000001,4/1/20,5,0,0,5
Sumatera Utara,Indonesia,2.1153547,99.5450974,4/1/20,22,0,3,19
Sumatera Barat,Indonesia,-0.7399397,100.80000509999999,4/1/20,8,0,0,8
Riau,Indonesia,0.2933469,101.70682940000002,4/1/20,3,1,0,2
Jambi,Indonesia,-1.4851831,102.43805809999999,4/1/20,2,0,0,2
Sumatera Selatan,Indonesia,-3.3194373999999995,103.914399,4/1/20,5,0,2,3
Bengkulu,Indonesia,-3.5778470999999996,102.3463875,4/1/20,1,0,1,0
Lampung,Indonesia,-4.5585849000000005,105.40680790000002,4/1/20,8,0,0,8
Kepulauan Bangka Belitung,Indonesia,-2.7410513,106.4405872,4/1/20,2,0,1,1
Kepulauan Riau,Indonesia,3.9456513999999996,108.1428669,4/1/20,7,0,1,6
DKI Jakarta,Indonesia,-6.211544,106.84517199999999,4/1/20,808,50,85,673
Jawa Barat,Indonesia,-7.090911,107.66888700000001,4/1/20,220,11,21,188
Jawa Tengah,Indonesia,-7.150975,110.1402594,4/1/20,104,0,7,97
DI Yogyakarta,Indonesia,-7.8753849,110.4262088,4/1/20,28,1,2,25
Jawa Timur,Indonesia,-7.536063900000001,112.2384017,4/1/20,104,17,9,78
Banten,Indonesia,-6.4058171999999995,106.0640179,4/1/20,152,7,14,131
Bali,Indonesia,-8.409517800000001,115.18891599999999,4/1/20,25,10,2,13
Nusa Tenggara Barat,Indonesia,-8.6529334,117.3616476,4/1/20,6,0,0,6
Nusa Tenggara Timur,Indonesia,-8.6573819,121.07937050000001,4/1/20,0,0,0,0
Kalimantan Barat,Indonesia,-0.2787808,111.47528510000001,4/1/20,10,2,2,6
Kalimantan Tengah,Indonesia,-1.6814878,113.38235449999999,4/1/20,9,0,0,9
Kalimantan Selatan,Indonesia,-3.0926415,115.28375849999999,4/1/20,8,0,0,8
Kalimantan Timur,Indonesia,1.6406296000000002,116.419389,4/1/20,21,0,1,20
Sulawesi Utara,Indonesia,0.6246932,123.97500179999999,4/1/20,3,1,0,2
Sulawesi Tengah,Indonesia,-1.4300254,121.4456179,4/1/20,2,0,0,2
Sulawesi Selatan,Indonesia,-3.6687993999999997,119.9740534,4/1/20,66,0,5,61
Sulawesi Tenggara,Indonesia,-4.144909999999999,122.174605,4/1/20,3,0,0,3
Gorontalo,Indonesia,0.6999371999999999,122.44672379999999,4/1/20,0,0,0,0
Sulawesi Barat,Indonesia,-2.8441370999999998,119.23207839999999,4/1/20,1,0,0,1
Maluku,Indonesia,-3.2384616000000004,130.1452734,4/1/20,1,1,0,0
Maluku Utara,Indonesia,1.5709993,127.8087693,4/1/20,1,0,0,1
Papua Barat,Indonesia,-1.3361154,133.1747162,4/1/20,2,0,1,1
Papua,Indonesia,-4.269928,138.0803529,4/1/20,10,2,0,8
Kalimantan Utara,Indonesia,3.325,117.57778,4/1/20,2,0,0,2
Under investigation,Indonesia,0.7893,113.9213,4/1/20,28,0,0,28
