Date time,Latitude,Longitude,Magnitude,Depth (km),Location,Agency,Cluster
2022-01-06 14:41:04.245148+00:00,0.03346353024,123.3881912,2.761296588,152,"Minahassa Peninsula, Sulawesi",BMKG,4
2022-01-10 09:24:18.639113+00:00,0.01930208504,124.3205414,3.456092297,79,"Minahassa Peninsula, Sulawesi",BMKG,3
2022-01-12 19:32:26.606886+00:00,0.7754805684,123.7509003,4.357450091,261,"Minahassa Peninsula, Sulawesi",BMKG,2
2022-01-13 10:01:20.540537+00:00,1.619708538,123.1399612,4.687186626,14,"Minahassa Peninsula, Sulawesi",BMKG,1
2022-01-15 04:04:30.918548+00:00,0.07604302466,124.4669495,3.621819261,61,"Minahassa Peninsula, Sulawesi",BMKG,3
2022-01-18 05:26:28.483463+00:00,0.9273667336,124.3366928,4.396210722,210,"Minahassa Peninsula, Sulawesi",BMKG,2
2022-01-25 21:14:04.676244+00:00,2.606077194,125.6108017,4.027639612,151,"Talaud Islands, Indonesia",BMKG,2
2022-01-26 13:19:53.555914+00:00,1.334970951,124.7790375,3.623374986,10,"Minahassa Peninsula, Sulawesi",BMKG,3
2022-01-28 14:29:51.251074+00:00,2.750587702,125.7304153,4.233410926,135,"Talaud Islands, Indonesia",BMKG,1
2022-01-28 15:10:18.193518+00:00,0.2543724477,125.3222351,3.498920977,12,Northern Molucca Sea,BMKG,3
2022-01-29 15:40:50.982771+00:00,0.09370484948,124.1054611,3.597829988,99,"Minahassa Peninsula, Sulawesi",BMKG,4
2022-02-01 16:12:44.492137+00:00,1.040472031,125.3421173,2.930175255,10,Northern Molucca Sea,BMKG,3
2022-02-02 14:23:12.406974+00:00,1.428349853,124.5762405,4.059332027,245,"Minahassa Peninsula, Sulawesi",BMKG,2
2022-02-07 17:21:34.537493+00:00,0.06323147565,123.9890976,3.089955999,10,"Minahassa Peninsula, Sulawesi",BMKG,3
2022-02-07 21:27:03.607673+00:00,0.1840902865,124.2059784,4.520201079,93,"Minahassa Peninsula, Sulawesi",BMKG,1
2022-02-09 23:34:43.551333+00:00,2.41479373,125.9576263,3.785903228,101,"Talaud Islands, Indonesia",BMKG,4
2022-02-10 20:16:23.507341+00:00,2.74951458,125.3615189,4.260143482,10,"Talaud Islands, Indonesia",BMKG,1
2022-02-13 21:48:49.821422+00:00,0.7631312609,125.8653259,2.984386918,10,Northern Molucca Sea,BMKG,3
