-BEGIN HEADER-
Parameter(s): 
T2M                     Temperature at 2 Meters (C) 
RH2M                    Relative Humidity at 2 Meters (%) 
CLOUD_AMT               Cloud Amount (%) 
ALLSKY_SFC_SW_DWN       All Sky Surface Shortwave Downward Irradiance (W/m^2) 
-END HEADER-
province,district,sub_district,village,approx_lat,approx_long,village_id,T2M,RH2M,CLOUD_AMT,ALLSKY_SFC_SW_DWN,CLUSTER
SULAWESI UTARA,BOLAANG MONGONDOW,SANG TOMBOLANG,AYONG,0.83806875,123.8904583,1001,28.261166666666668,76.96266666666666,73.52666666666666,219.2941666666666,1
SULAWESI UTARA,BOLAANG MONGONDOW UTARA,KAIDIPANG,GIHANG,0.90197561,123.2371268,2324,27.90683333333333,78.1735,73.52666666666666,219.2941666666666,1
SULAWESI UTARA,BOLAANG MONGONDOW UTARA,KAIDIPANG,KUALA UTARA,0.907924051,123.2833747,2323,27.90683333333333,78.1735,73.52666666666666,219.2941666666666,1
SULAWESI UTARA,BOLAANG MONGONDOW UTARA,KAIDIPANG,BOROKO TIMUR,0.908172727,123.2709788,2322,27.90683333333333,78.1735,73.52666666666666,219.2941666666666,1
SULAWESI UTARA,BOLAANG MONGONDOW UTARA,KAIDIPANG,KOMUS II,0.913028333,123.2039958,2321,27.90683333333333,78.1735,73.52666666666666,219.2941666666666,1
SULAWESI UTARA,MINAHASA,TOMBARIRI,KUMU,1.385601549,124.5898356,1367,28.377499999999987,77.26233333333332,77.22916666666669,223.30866666666665,1
SULAWESI UTARA,MINAHASA,TOMBARIRI,TELING,1.403158101,124.6087482,1368,28.377499999999987,77.26233333333332,77.22916666666669,223.30866666666665,1
SULAWESI UTARA,MINAHASA,TOMBARIRI,POOPOH,1.387589822,124.6289499,1369,28.377499999999987,77.26233333333332,77.22916666666669,223.30866666666665,1
SULAWESI UTARA,MINAHASA,TOMBARIRI,RANOWANGKO,1.389209195,124.661187,1370,28.377499999999987,77.26233333333332,77.22916666666669,223.30866666666665,1
SULAWESI UTARA,MINAHASA,TOMBARIRI,SENDUK,1.355828914,124.6775962,1371,28.377499999999987,77.26233333333332,77.22916666666669,223.30866666666665,1
SULAWESI UTARA,MINAHASA,TOMBARIRI,PINASUNGKULAN,1.380788414,124.5785068,1372,28.377499999999987,77.26233333333332,77.22916666666669,223.30866666666665,1
SULAWESI UTARA,BOLAANG MONGONDOW UTARA,KAIDIPANG,INOMUNGA,0.91403913,123.2423261,2320,27.90683333333333,78.1735,73.52666666666666,219.2941666666666,1
SULAWESI UTARA,BOLAANG MONGONDOW UTARA,KAIDIPANG,PONTAK,0.874655629,123.2716351,2319,27.90683333333333,78.1735,73.52666666666666,219.2941666666666,1
SULAWESI UTARA,MINAHASA,TOMBARIRI,BORGO,1.395349333,124.679868,1375,28.377499999999987,77.26233333333332,77.22916666666669,223.30866666666665,1
SULAWESI UTARA,BOLAANG MONGONDOW UTARA,KAIDIPANG,KUALA,0.901055696,123.2791139,2318,27.90683333333333,78.1735,73.52666666666666,219.2941666666666,1
SULAWESI UTARA,BOLAANG MONGONDOW UTARA,KAIDIPANG,BIGO,0.902122222,123.2671111,2317,27.90683333333333,78.1735,73.52666666666666,219.2941666666666,1
SULAWESI UTARA,BOLAANG MONGONDOW UTARA,KAIDIPANG,BOROKO,0.908045213,123.258433,2316,27.90683333333333,78.1735,73.52666666666666,219.2941666666666,1
SULAWESI UTARA,BOLAANG MONGONDOW UTARA,KAIDIPANG,SOLO,0.936493609,123.2161587,2315,27.90683333333333,78.1735,73.52666666666666,219.2941666666666,1
SULAWESI UTARA,BOLAANG MONGONDOW UTARA,BOLANGITANG BARAT,PAKU SELATAN,0.779775706,123.3170237,2314,27.90683333333333,78.1735,73.52666666666666,219.2941666666666,1
SULAWESI UTARA,BOLAANG MONGONDOW UTARA,BOLANGITANG BARAT,KEIMANGA,0.89307451,123.3497657,2313,27.90683333333333,78.1735,73.52666666666666,219.2941666666666,1
SULAWESI UTARA,BOLAANG MONGONDOW UTARA,BOLANGITANG BARAT,TANJUNG BUAYA,0.768137795,123.2891323,2312,27.90683333333333,78.1735,73.52666666666666,219.2941666666666,1
SULAWESI UTARA,BOLAANG MONGONDOW UTARA,BOLANGITANG BARAT,TALAGA,0.904625352,123.2978704,2311,27.90683333333333,78.1735,73.52666666666666,219.2941666666666,1
SULAWESI UTARA,BOLAANG MONGONDOW UTARA,BOLANGITANG BARAT,BOLANGITANG II,0.907779208,123.3106416,2310,27.90683333333333,78.1735,73.52666666666666,219.2941666666666,1
SULAWESI UTARA,BOLAANG MONGONDOW UTARA,BOLANGITANG BARAT,BOLANGITANG I,0.908270588,123.3001224,2309,27.90683333333333,78.1735,73.52666666666666,219.2941666666666,1
SULAWESI UTARA,BOLAANG MONGONDOW UTARA,BOLANGITANG BARAT,OLLOT II,0.82065948,123.3418468,2308,27.90683333333333,78.1735,73.52666666666666,219.2941666666666,1
SULAWESI UTARA,BOLAANG MONGONDOW UTARA,BOLANGITANG BARAT,OLLOT I,0.875547368,123.3159132,2307,27.90683333333333,78.1735,73.52666666666666,219.2941666666666,1
SULAWESI UTARA,BOLAANG MONGONDOW UTARA,KAIDIPANG,BOROKO UTARA,0.913946434,123.2663263,2325,27.90683333333333,78.1735,73.52666666666666,219.2941666666666,1
SULAWESI UTARA,BOLAANG MONGONDOW UTARA,BOLANGITANG BARAT,WAKAT,0.813705978,123.3750598,2306,27.90683333333333,78.1735,73.52666666666666,219.2941666666666,1
SULAWESI UTARA,BOLAANG MONGONDOW UTARA,KAIDIPANG,BIGO SELATAN,0.889719328,123.2603563,2326,27.90683333333333,78.1735,73.52666666666666,219.2941666666666,1
SULAWESI UTARA,BOLAANG MONGONDOW UTARA,KAIDIPANG,INOMUNGA UTARA,0.937110169,123.2420797,2328,27.90683333333333,78.1735,73.52666666666666,219.2941666666666,1
SULAWESI UTARA,MINAHASA SELATAN,TUMPAAN,LELEMA,1.283567164,124.6498164,1875,28.377499999999987,77.26233333333332,77.22916666666669,223.30866666666665,1
SULAWESI UTARA,MINAHASA SELATAN,TUMPAAN,POPONTOLEN,1.276994118,124.6284126,1874,28.377499999999987,77.26233333333332,77.22916666666669,223.30866666666665,1
SULAWESI UTARA,MINAHASA SELATAN,TUMPAAN,MATANI,1.265072996,124.6117755,1873,28.377499999999987,77.26233333333332,77.22916666666669,223.30866666666665,1
SULAWESI UTARA,BOLAANG MONGONDOW UTARA,PINOGALUMAN,DUINI,0.88007449,123.193202,2351,27.90683333333333,78.1735,73.52666666666666,219.2941666666666,1
SULAWESI UTARA,BOLAANG MONGONDOW UTARA,PINOGALUMAN,TUNTUNG TIMUR,0.870690076,123.2273603,2350,27.90683333333333,78.1735,73.52666666666666,219.2941666666666,1
SULAWESI UTARA,BOLAANG MONGONDOW UTARA,PINOGALUMAN,TAMBULANG PANTAI,0.920911538,123.1331788,2349,27.90683333333333,78.1735,73.52666666666666,219.2941666666666,1
SULAWESI UTARA,BOLAANG MONGONDOW UTARA,PINOGALUMAN,TAMBULANG TIMUR,0.910984685,123.1332486,2348,27.90683333333333,78.1735,73.52666666666666,219.2941666666666,1
SULAWESI UTARA,BOLAANG MONGONDOW UTARA,PINOGALUMAN,BUKO UTARA,0.921152273,123.1377773,2347,27.90683333333333,78.1735,73.52666666666666,219.2941666666666,1
SULAWESI UTARA,BOLAANG MONGONDOW UTARA,PINOGALUMAN,DALAPULI BARAT,0.907998374,123.1423894,2346,27.90683333333333,78.1735,73.52666666666666,219.2941666666666,1
